id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
4887,64967,64968,cash,27500000,2010-12-27
4888,39451,44170,cash,3750000,2010-12-24
4889,64976,56897,,0,2010-07-29
4890,37859,64985,,0,2010-09-01
4891,26466,64997,cash,26000000,2010-10-01
4892,26071,4281,cash,60000000,2010-09-30
4893,12623,65002,,0,2010-10-01
4894,12623,44009,,0,2010-10-01
4895,55355,65008,,0,2010-10-05
4896,5622,65059,,0,2010-12-24
4897,41673,13169,,0,2010-10-08
4899,65134,40604,,0,2010-06-01
4900,40774,44436,cash,0,2010-10-14
4901,60440,65201,,0,2010-12-30
4902,19713,64066,cash,0,2010-12-31
4903,65261,63904,,0,2010-12-23
4904,40604,40604,,0,2010-12-01
4905,40604,65131,,0,2010-11-01
4906,40604,54405,,0,2010-03-01
4907,38556,65391,,0,2010-12-31
4908,34821,65402,,0,2011-01-03
4909,65403,65404,cash,120000000,2011-01-03
4910,25793,65335,,0,2008-06-01
4911,25793,65336,,0,2008-04-01
4912,65480,47819,,0,2011-01-04
4913,2602,32761,,0,2011-01-04
4914,6165,65487,cash,15000000,2011-01-04
4915,34138,65488,,0,2011-01-04
4916,39566,39236,,0,2011-01-04
4917,36871,36796,stock,0,2011-01-04
4918,1812,410,,0,2011-01-01
4919,45529,31703,,0,2011-01-05
4920,326,23041,,0,2011-01-05
4921,326,65546,,0,2011-01-05
4922,32435,65547,,78000000,2011-01-05
4923,45123,44205,,0,2010-09-09
4924,323,16734,stock,3100000000,2011-05-05
4925,24701,31309,,0,2011-01-05
4926,62,1628,,150000000,2011-01-06
4927,13246,65688,,0,2011-01-05
4929,51828,65787,cash,131000000,2011-01-10
4930,17773,24910,,0,2011-01-10
4931,65797,65793,,0,2011-01-06
4932,25212,17829,,0,2011-01-06
4933,19066,40762,cash,21000000,2011-01-05
4934,65807,26052,,0,2011-01-05
4935,28349,65812,,0,2011-01-04
4936,65814,65813,,0,2011-01-04
4937,65835,65836,,0,2011-01-07
4938,3303,65838,,0,2011-01-07
4939,1972,3413,cash,31000000,2011-01-06
4940,63084,428,,0,2010-12-07
4941,65853,52379,,0,2010-12-15
4943,13102,28939,,0,2011-01-10
4944,8757,51040,,0,2011-01-10
4945,12185,27438,,0,2011-01-07
4946,28712,40747,,0,2011-01-10
4947,8813,42501,,0,2011-01-10
4948,65877,65876,,0,2011-01-11
4949,22851,46602,,0,2011-01-11
4950,65882,65881,,0,2011-01-11
4951,25793,65410,,0,2008-04-01
4952,40411,65898,,0,2011-01-04
4953,63684,65905,,0,2011-01-04
4954,50210,65911,,0,2011-01-04
4955,30525,65922,cash,144000000,2011-01-03
4956,44205,45123,,0,2010-09-09
4957,65954,65955,,0,2011-01-11
4958,20211,65976,,0,2010-12-01
4959,17274,65980,,0,2011-01-03
4960,65982,65981,cash_and_stock,3150000,2011-01-03
4961,65984,31767,,0,2011-01-10
