id,object_id,degree_type,subject
3776,p:38002,MBA,
3777,p:38001,,
3778,p:38013,BA,Electrical Engineering
3779,p:38013,MS,Electrical Engineering
3780,p:32452,BA,Economics
3781,p:32452,MBA,
3782,p:38050,BA,History
3783,p:37898,BA,Philosophy
3784,p:37921,BS,Computer Science
3785,p:37921,Master's of Computer Science,Computer Science
3786,p:38098,,
3787,p:38098,,
3788,p:35969,PhD,Engineering
3789,p:35969,MS,Engineering
3790,p:35969,MBA,
3791,p:35969,Fulbright Scholar,Electrical Engineering
3792,p:38152,BA,History and Literature
3793,p:38152,MBA,Product Development
3794,p:38158,BS,
3795,p:38191,"BA, BS","Mathematics, Molecular Biology"
3796,p:38191,PhD,Biology
3797,p:38192,,
3798,p:38192,,
3799,p:37990,MBA,"Finance, Information Systems"
3800,p:37990,BA,"Business Economics, Computing"
3801,p:38203,MBA,
3802,p:38203,MS,
3803,p:38203,BS Mechanical engg,
3804,p:38223,MBA,Executive MBA
3805,p:38223,MS,"Non-destructive testing, computer-aided pattern recognition"
3806,p:37717,Electrical and Computer Engineer,
3807,p:37993,MBA,Business
3808,p:22080,MBA,Business
3809,p:38290,Bacharel,Economics
3810,p:38295,,Biology
3811,p:38115,Diploma,Applied Media Science
3812,p:37443,B.S. (with hons),Engineering Management
3813,p:6479,MENG,Computer Science
3814,p:38315,BA,Business Mangement
3815,p:38373,BA,Economics
3816,p:38373,MBA,
3817,p:22123,BA,Philosophy
3818,p:22123,MBA,Business
3819,p:22122,BCOM,Marketing and Management
3820,p:22122,Master of Commerce (First Class ,Marketing
3821,p:38397,BA,History/Political Science
3822,p:35852,BS,Public Relations
3823,p:38402,MS,Applied Mathematics and Information Science
3824,p:38189,BS,Psychology and Sociology
3825,p:38189,MS,Industrial/Organizational Psychology
3826,p:25772,BA,Sociology & Institutional Analysis
3827,p:25772,ACLA (Auto Claims Law Associate),Claims Law
3828,p:38387,"BS, MS",
3829,p:26088,BS,Aeronautical & Astronautical Engineering
3830,p:38471,BA,"Finance, Acturaial Science, Computer Science"
3831,p:38471,MBA,Finance
3832,p:17574,BS,Computer Engineering & Computer Science
3833,p:17574,MS,Computer Science
3834,p:38531,MS,Information Science
3835,p:38545,Behavioral Science and Health Ad,Bachelor of Science
3836,p:26088,Master in Public Policy,"Business & Government Policy, General Management"
3837,p:38597,BS,Applied Business Economics
3838,p:32145,MS,Business Administration
3839,p:13567,MA,Mathematics
3840,p:38610,MS,"Signal Processing, Psychoacoustics, Computer Science"
3841,p:38487,BA,Business Administration
3842,p:15733,MS,Peforming Arts Administration
3843,p:14244,MBA,
3844,p:14244,DIPL-ING,Technical Computer Science
3845,p:38652,Corporate Finance,Business
3846,p:18516,MS,Law
3847,p:32010,,Mechanical Engineering
3848,p:32010,MBA,
3849,p:2201,MCSA,MCSA
3850,p:2201,Cert IV in Information Technolog,Cert IV in Information Technology
3851,p:2201,Cert IV Design,Cert IV Design
3852,p:2201,MCP,MCP
3853,p:30698,BS,
3854,p:30698,JD,
3855,p:38755,,
3856,p:31017,MS,Science in Technical Communication - School of Engineering
3857,p:38793,BS,BS
3858,p:38794,JD,
3859,p:38835,thermo energetic engineer,energetic college
3860,p:38844,BA,"Economics, Sociology"
3861,p:38844,MBA,"Management, Finance"
3862,p:38851,Certified as Leadership Coach,"Leadership Coaching, Team Building, Personal Coaching"
3863,p:38877,PhD,Regional Planning
3864,p:38877,MS,E.E. & Computer Sc.
3865,p:38877,BS,E.E. & Physics
3866,p:24220,,Criiminal Justice
3867,p:38899,MBA,Business Administration
3868,p:38899,M.Sc. (summa cum laude),Computer Science
3869,p:38899,B.Sc (summa cum laude),Mathematics and Computer Science
3870,p:13734,BA,Sociology
3871,p:38922,BS,Engineering
3872,p:38927,,
3873,p:8781,BS,Computer Science
3874,p:38954,BS,Engineering
3875,p:15104,licence,Cinema
